word_count,afinn_raw,afinn_norm,bing_pos,bing_neg,bing_net_raw,bing_net_norm,nrc_pos,nrc_neg,nrc_net_raw,nrc_net_norm,nrc_anger,nrc_fear,nrc_joy,nrc_sadness,nrc_trust,category,file,title,url
1998,59,0.02952952952952953,49,59,-10,-0.005005005005005005,97,67,30,0.015015015015015015,20,45,26,30,54,health,health_21.txt,'It's a very unique biological specimen': What menstrual blood can reveal about your health,https://www.bbc.com/future/article/20260306-what-menstrual-blood-can-reveal-about-your-health
1954,-6,-0.0030706243602865915,55,53,2,0.0010235414534288639,106,99,7,0.0035823950870010235,20,64,25,31,67,health,health_22.txt,Universal flu vaccine: How scientists are closing in on the virus's 'weak spots',https://www.bbc.com/future/article/20260227-why-is-there-no-universal-flu-vaccine
1619,-20,-0.012353304508956145,46,52,-6,-0.0037059913526868438,76,64,12,0.0074119827053736875,25,50,13,30,45,health,health_23.txt,The mystery of why some people develop ALS,https://www.bbc.com/future/article/20230825-the-mystery-of-why-some-people-develop-als
1452,22,0.015151515151515152,30,37,-7,-0.0048209366391184574,81,39,42,0.028925619834710745,13,25,37,22,51,health,health_24.txt,How ultra-processed foods affect our gut microbiome,https://www.bbc.com/future/article/20260220-how-ultra-processed-foods-influence-our-gut-microbiome
1314,10,0.0076103500761035,42,44,-2,-0.0015220700152207,60,48,12,0.0091324200913242,15,30,13,8,19,health,health_25.txt,How to exercise safely in hot weather,https://www.bbc.com/future/article/20260618-how-keep-exercising-when-its-really-hot
971,-3,-0.003089598352214212,20,47,-27,-0.027806385169927908,46,47,-1,-0.0010298661174047373,18,37,11,16,49,health,health_26.txt,News of disease outbreaks can warp our brains in strange and subtle ways,https://www.bbc.com/future/article/20260702-ebola-and-hantavirus-how-fear-of-infection-warps-our-psychology
1186,-3,-0.002529510961214165,35,46,-11,-0.00927487352445194,67,46,21,0.01770657672849916,15,24,10,25,31,health,health_27.txt,Weak hands and blurry vision: Is your tech giving you 'phone body'?,
1759,-35,-0.019897669130187607,65,90,-25,-0.014212620807276862,115,117,-2,-0.0011370096645821489,19,69,53,46,70,health,health_28.txt,'I felt trapped': The hidden struggle of eating disorders facing pregnant women,https://www.bbc.com/future/article/20260616-how-pregnancy-can-trigger-an-eating-disorder
2147,24,0.011178388448998603,64,51,13,0.006054960409874243,74,48,26,0.012109920819748486,13,25,27,61,52,health,health_29.txt,The blue light from your phone isn't ruining your sleep,https://www.bbc.com/future/article/20260407-the-blue-light-from-your-phone-isnt-ruining-your-sleep
1137,50,0.04397537379067722,48,19,29,0.025505716798592787,72,34,38,0.03342128408091469,14,19,19,16,40,health,health_30.txt,Five minutes of exercise a day could help millions of people live longer,https://www.bbc.com/future/article/20260515-why-only-five-minutes-of-exercise-could-help-millions-of-people-live-longer
